958 2528
267 121 176
249 758 178
78 694 436
687 375 943
512 42 862
177 817 107
621 918 954
734 92 378
107 162 169
755 876 64
761 594 915
303 106 596
555 829 572
151 78 335
144 809 449
459 88 818
747 766 137
702 100 948
455 814 751
734 337 24
707 403 176
514 571 753
843 44 530
203 763 268
417 925 619
610 205 769
658 662 953
427 69 918
221 394 461
581 458 626
834 764 770
70 520 73
36 9 659
184 644 613
306 259 887
914 925 192
127 932 617
634 329 89
502 835 389
537 74 799
134 153 775
304 181 575
137 752 769
569 234 464
393 747 841
157 931 963
562 785 664
464 138 70
2 233 648
156 415 948
431 804 660
466 231 677
622 674 38
78 445 982
774 249 489
389 857 763
478 267 469
286 819 804
90 795 494
316 896 116
548 452 663
848 947 485
138 215 550
241 12 523
376 929 564
458 154 336
281 669 813
120 688 360
628 94 725
779 455 752
872 835 201
259 55 649
348 271 991
775 100 897
247 498 206
111 694 30
197 318 646
386 4 118
50 214 656
851 348 50
492 137 401
467 765 529
456 345 568
934 24 565
137 200 81
206 47 526
862 362 756
613 106 34
415 934 544
422 595 708
10 9 941
468 32 887
629 487 573
190 376 144
923 242 10
790 626 866
327 332 106
472 608 945
835 402 70
131 291 227
820 352 397
188 425 248
603 605 271
734 763 657
453 746 909
689 584 527
208 273 657
400 94 181
908 790 366
796 353 320
706 451 533
231 631 567
951 822 882
325 446 965
681 272 230
494 568 482
637 110 530
176 437 162
602 160 160
827 371 499
831 571 853
551 951 270
417 667 588
278 620 607
274 854 463
737 409 284
748 865 917
101 423 92
878 571 448
850 63 927
189 440 223
439 937 848
64 678 327
116 359 675
728 85 415
662 503 684
930 477 678
803 788 680
918 53 272
829 549 513
748 281 833
541 437 411
247 232 307
595 845 645
480 810 612
935 643 302
356 704 434
387 47 389
418 762 437
666 699 549
763 721 391
90 515 771
3 352 110
44 835 662
535 500 622
770 1 725
771 333 204
488 560 657
70 43 213
813 241 849
689 824 520
35 620 826
765 36 30
554 676 602
394 880 860
524 709 8
937 523 784
882 613 214
360 207 648
787 151 494
408 387 127
655 911 834
781 871 917
816 48 823
411 851 126
260 46 39
838 369 782
290 648 919
707 220 16
614 595 937
478 496 185
190 621 835
422 88 177
627 275 687
187 806 834
777 182 876
334 769 916
332 228 965
315 169 227
308 93 704
49 194 225
184 555 461
735 457 663
853 135 485
456 838 4
181 799 364
603 926 371
209 156 922
73 678 338
841 824 690
950 631 90
887 357 901
28 370 292
553 95 716
426 411 217
605 37 330
679 316 546
95 698 206
128 651 611
24 444 131
121 797 800
526 404 87
437 868 435
727 357 977
86 877 413
234 724 865
634 791 543
55 119 183
79 231 110
358 948 48
303 2 562
195 785 797
70 399 115
955 749 271
762 878 796
397 560 622
286 853 835
9 648 582
796 147 948
488 233 462
573 724 135
148 12 670
929 917 830
901 181 799
525 345 744
500 436 939
768 477 789
881 790 532
312 214 214
669 114 188
587 836 55
46 111 659
187 952 477
124 290 159
345 1 366
445 334 568
17 371 200
688 806 22
410 236 805
781 878 385
4 469 904
220 114 43
125 656 101
593 708 972
841 895 674
351 511 166
727 33 14
281 732 653
646 833 583
429 744 637
578 649 260
467 556 309
313 140 670
335 652 815
569 881 203
95 716 541
770 37 857
13 761 637
113 523 690
657 876 20
480 681 135
678 572 411
928 567 637
798 580 751
545 571 912
607 690 400
120 157 17
864 653 19
359 206 97
815 470 906
312 623 33
44 283 416
596 908 218
326 351 464
564 760 720
482 34 667
111 362 553
647 29 65
193 216 872
637 854 374
868 870 984
922 281 318
273 845 95
870 732 266
658 697 502
450 659 616
219 505 214
21 520 894
825 526 107
238 854 191
872 124 337
316 731 807
904 306 829
574 43 254
199 318 182
620 214 372
711 863 792
424 229 289
335 474 274
801 572 905
778 538 582
248 137 787
157 89 711
208 161 593
247 502 383
388 452 284
773 70 915
770 583 421
194 796 296
888 265 120
927 391 662
59 489 289
204 497 150
58 409 986
700 957 153
164 378 538
105 241 487
902 886 178
554 224 537
170 594 978
433 824 925
579 124 78
320 836 677
499 814 797
456 657 505
714 579 371
648 788 182
500 704 79
260 35 439
7 413 645
692 54 558
321 350 143
857 50 633
521 740 465
825 142 975
357 334 94
100 623 798
901 438 448
922 845 772
394 759 618
79 875 379
406 494 507
946 101 248
839 278 63
384 709 47
793 6 99
427 122 185
172 27 360
312 373 584
417 144 92
354 325 554
255 849 129
170 836 854
645 336 773
487 901 662
156 290 786
211 288 214
802 181 791
496 882 530
132 633 838
90 623 9
322 60 841
393 639 777
844 373 591
250 894 25
885 501 971
438 958 510
697 276 467
165 864 240
532 797 94
397 527 603
777 722 217
854 546 630
189 217 238
760 813 300
25 229 953
265 694 239
1 667 82
270 661 335
928 582 284
431 197 329
452 58 862
247 679 358
22 898 851
951 175 707
755 711 41
432 773 518
206 552 952
52 377 945
216 103 418
442 330 284
432 396 669
57 488 453
500 315 3
894 104 530
437 473 479
78 795 729
360 668 72
667 928 928
327 172 413
313 343 712
713 871 314
625 427 60
354 884 243
307 424 654
655 340 566
830 798 543
875 467 939
535 130 890
162 563 941
271 641 60
238 189 446
429 743 171
516 808 674
401 807 49
521 951 535
540 68 69
19 218 473
728 428 858
715 327 875
859 345 509
617 813 980
421 377 602
43 638 954
635 884 36
934 749 176
786 243 184
657 229 557
442 27 973
659 81 345
73 797 438
456 157 837
437 83 484
716 705 498
245 955 775
507 48 357
97 800 191
281 332 226
696 2 958
734 630 323
240 40 984
131 475 972
598 625 570
803 110 266
654 341 267
233 154 522
299 554 680
658 883 284
664 552 32
420 347 827
181 124 758
200 617 27
304 196 737
647 764 328
322 186 798
942 383 920
422 765 477
902 346 355
806 820 400
703 580 887
77 457 867
669 893 10
528 759 167
231 641 916
461 654 124
745 382 387
909 235 46
411 730 537
382 42 528
813 68 399
724 818 953
218 581 454
388 500 620
958 700 857
716 312 186
197 549 150
949 229 244
434 330 703
528 869 181
917 137 611
610 107 429
771 438 393
278 820 603
933 464 370
566 414 963
631 793 678
525 348 417
265 642 678
901 858 951
426 174 229
329 539 528
100 526 860
479 473 600
500 917 799
413 761 787
70 830 425
830 398 284
413 282 69
644 509 872
845 847 83
108 597 642
503 943 128
512 211 153
891 910 825
246 467 206
789 257 173
79 283 916
159 328 416
760 254 462
117 620 101
836 405 390
462 585 659
203 671 130
819 902 632
257 141 484
731 55 980
874 140 398
318 183 491
627 37 222
101 327 767
191 600 251
479 738 616
650 381 724
879 403 942
24 713 122
571 347 674
752 90 32
216 77 227
180 15 756
600 381 52
637 569 202
11 671 983
623 627 528
847 618 744
899 775 461
493 25 202
179 661 195
142 403 503
33 277 565
34 358 440
851 918 699
781 438 12
579 605 258
9 14 992
15 498 586
7 908 996
861 790 691
525 918 10
142 468 805
409 184 301
686 330 178
607 735 973
773 380 99
229 261 657
746 594 788
360 937 996
830 18 711
753 362 703
540 162 582
611 570 265
807 376 126
582 151 147
366 600 398
831 842 571
213 224 44
553 209 604
318 257 966
487 346 502
441 950 243
477 328 760
832 26 342
789 433 61
955 140 191
146 465 398
658 783 766
466 840 592
587 267 461
204 469 187
655 181 461
873 153 454
314 239 558
504 63 131
170 410 424
390 843 219
290 923 325
773 650 543
807 221 288
756 800 917
908 592 582
226 435 174
955 485 139
393 37 518
228 162 506
577 268 204
823 847 827
573 763 77
361 766 504
164 199 516
224 408 541
189 354 482
310 218 764
786 275 333
50 233 889
856 547 962
218 708 821
357 169 615
601 417 38
573 866 466
305 56 647
869 831 405
392 403 620
908 247 889
856 401 863
866 84 671
638 142 313
555 484 869
1 373 13
524 16 39
84 507 192
709 850 891
323 894 921
425 262 94
87 780 920
233 66 772
86 18 988
935 522 207
553 458 774
595 675 842
810 649 316
19 237 779
233 740 51
789 304 874
558 753 353
145 617 507
482 71 778
348 227 937
703 903 853
238 907 75
211 522 496
737 281 687
436 689 464
218 857 294
648 857 757
876 168 455
163 614 102
580 327 966
126 843 750
44 116 522
63 566 902
120 903 986
840 921 514
770 379 853
7 149 19
473 564 859
126 8 384
104 220 975
402 637 14
149 406 293
167 597 334
131 137 311
679 682 248
305 794 325
786 463 464
518 872 339
708 253 783
518 830 470
733 421 760
179 317 691
675 201 375
276 738 938
238 321 370
694 270 385
487 787 263
754 508 543
857 222 41
518 403 811
863 9 516
241 577 116
133 337 720
583 15 99
109 76 402
58 523 969
16 321 571
804 81 962
328 851 152
345 611 854
600 119 534
770 538 438
782 197 812
244 556 497
527 670 28
519 162 718
690 172 261
128 191 341
260 453 590
421 830 788
40 684 200
894 887 526
328 935 87
81 789 213
909 486 588
806 18 887
728 465 823
660 523 221
299 483 689
945 308 263
390 438 646
744 499 770
401 521 127
726 710 609
882 436 496
58 53 100
563 733 342
110 210 759
204 168 698
918 877 305
100 4 423
842 786 357
28 805 952
119 758 707
689 464 986
735 301 518
713 19 965
724 484 704
775 736 305
520 281 748
254 655 420
135 936 164
275 242 121
477 846 482
680 254 861
49 622 938
449 376 717
532 345 949
828 311 941
628 912 861
368 513 420
202 208 829
398 492 249
529 395 749
916 317 737
591 329 508
510 682 361
456 815 146
461 515 984
753 188 957
608 703 484
643 30 721
53 583 483
772 89 749
418 295 398
644 937 509
937 523 156
719 340 499
477 765 267
951 699 362
232 210 468
909 188 527
713 378 276
718 431 486
789 299 807
80 555 177
709 365 305
320 552 991
138 795 531
190 229 531
293 930 680
894 893 897
233 738 256
474 96 999
856 892 92
801 658 41
537 407 837
319 797 106
531 720 482
662 137 524
417 351 607
313 252 450
621 238 968
663 434 302
231 347 244
218 227 939
152 168 826
572 240 528
709 561 742
782 751 573
77 631 46
899 816 78
107 20 425
411 423 478
625 566 525
29 457 387
169 184 77
400 22 243
509 374 859
672 539 72
664 659 58
783 445 904
638 314 994
782 420 310
705 429 804
174 355 116
841 553 210
652 567 500
50 353 875
434 800 476
646 429 999
80 954 457
617 240 418
371 776 255
771 166 255
123 525 265
134 716 40
891 731 929
175 604 863
841 58 406
533 239 789
288 174 601
858 653 718
735 876 62
460 540 29
739 263 645
603 569 492
126 454 386
87 811 413
90 587 645
529 815 767
192 70 49
181 334 816
554 309 845
526 624 183
187 825 527
491 57 619
926 685 416
541 340 342
687 398 656
266 194 268
175 535 73
392 409 241
790 283 151
184 356 512
742 866 72
373 237 127
391 95 762
111 765 574
771 630 67
866 896 721
957 385 909
583 362 564
691 140 181
888 576 328
590 775 574
515 124 733
366 320 598
317 473 987
171 905 92
376 681 617
768 761 395
65 574 231
646 726 818
206 430 780
416 147 207
526 755 989
352 577 296
542 23 599
897 174 494
809 199 306
615 428 744
137 174 703
599 157 794
406 523 483
643 364 326
482 202 520
576 225 126
925 695 730
210 288 729
500 472 825
452 958 198
925 775 673
749 386 108
543 846 439
927 751 53
22 431 797
384 660 772
3 790 683
852 507 331
590 665 328
744 640 65
244 694 756
424 926 753
386 449 477
693 261 867
563 267 695
18 519 795
608 541 927
582 877 955
214 557 509
713 746 143
47 787 614
423 400 984
306 737 711
901 578 516
364 742 861
164 562 201
863 562 325
241 498 530
766 176 304
33 215 384
873 771 316
855 423 143
746 338 5
372 539 835
908 43 239
463 690 309
744 698 760
636 871 847
34 243 338
438 55 143
94 708 577
349 437 635
155 610 570
348 830 36
742 116 380
569 701 272
137 457 80
383 119 708
311 248 295
933 83 23
564 545 30
563 747 28
567 921 905
491 540 949
532 940 732
942 859 331
585 896 729
901 912 604
754 914 623
148 40 880
691 254 247
430 867 367
750 812 259
247 421 390
898 860 94
132 707 971
907 519 280
907 41 968
856 706 639
838 168 18
370 55 754
507 688 489
342 364 717
833 841 666
856 925 367
78 63 328
557 739 182
947 356 99
604 482 417
928 47 156
343 919 962
638 231 541
695 259 3
596 640 16
791 185 651
66 411 763
29 794 960
390 50 837
945 520 450
129 356 304
248 677 7
437 541 195
117 361 572
468 293 205
19 926 923
627 160 649
540 228 180
804 958 879
515 894 410
641 762 27
347 388 220
833 337 268
537 765 99
785 95 469
862 812 591
615 168 413
953 411 983
830 622 917
812 769 378
67 905 728
176 768 615
395 925 797
87 553 239
565 749 330
641 358 855
680 704 929
435 935 512
161 750 267
272 855 570
669 199 183
248 515 178
212 245 302
241 205 96
626 20 421
940 427 556
404 700 8
237 850 954
205 429 21
443 651 794
114 543 242
89 132 40
713 352 14
11 471 140
860 950 199
84 593 632
291 387 736
662 639 188
209 385 294
321 128 433
675 213 313
900 352 989
33 849 69
951 883 105
335 242 84
602 400 754
773 949 325
643 367 460
324 384 837
503 120 601
846 552 722
353 659 709
383 756 448
256 755 991
902 426 581
339 882 692
411 746 13
362 390 584
228 612 945
833 852 495
266 520 856
913 354 587
482 374 184
861 30 598
127 98 11
864 260 744
238 762 255
674 732 3
756 700 279
74 499 371
517 272 40
50 102 125
58 545 32
92 624 921
29 833 212
364 513 876
346 188 430
583 611 899
75 35 684
523 309 587
712 37 869
684 244 529
547 363 892
768 491 542
740 856 120
607 754 844
491 452 4
701 373 4
330 723 573
83 66 421
174 26 681
676 380 402
815 423 525
372 904 177
68 109 591
887 573 611
184 956 231
853 486 979
467 792 505
410 948 695
204 66 378
850 100 853
88 479 922
556 6 481
417 75 697
641 7 470
591 604 570
237 860 261
579 594 572
110 212 441
889 50 254
260 592 946
206 712 626
297 565 919
790 753 731
397 84 204
343 14 63
52 16 753
123 55 391
355 606 542
370 95 788
610 529 68
397 91 619
754 417 584
68 874 409
569 951 520
55 54 628
3 480 195
82 828 153
369 515 664
921 949 275
212 90 105
531 358 193
617 545 267
65 734 965
20 161 507
160 15 395
139 132 152
198 284 108
757 719 905
749 752 637
271 4 376
268 956 368
15 307 897
443 719 398
147 316 188
469 812 313
914 382 542
882 901 124
826 317 359
720 262 720
616 571 776
116 507 238
797 288 34
512 172 758
139 498 283
936 702 242
341 791 889
924 191 92
4 494 133
926 891 174
200 393 955
122 254 739
857 589 358
879 485 358
453 723 879
781 394 247
226 601 600
861 265 461
686 562 299
742 857 962
412 578 698
65 35 962
699 161 980
110 671 371
172 121 601
124 521 400
329 789 671
219 857 961
754 373 217
613 640 206
483 536 188
303 398 353
584 711 655
810 607 623
