907 860
673 723 113
621 665 -783
834 520 469
236 47 -299
847 428 -259
88 201 388
197 61 -33
96 470 -107
273 829 165
73 296 205
219 888 -578
606 283 -844
145 764 470
547 183 -470
446 819 -67
783 588 -644
613 878 242
829 12 919
799 382 -53
22 48 551
52 363 835
690 404 -613
344 684 -254
433 687 662
252 767 501
18 827 732
354 258 292
374 19 794
71 824 852
50 754 245
244 148 -212
722 595 -975
609 145 936
16 533 -89
479 148 790
392 856 202
844 31 -48
574 886 -716
855 65 -571
52 897 -643
862 262 207
39 670 -495
513 648 -550
547 413 224
674 450 -229
693 731 252
214 277 -896
697 120 -34
231 179 -265
653 789 625
687 223 450
868 344 -327
674 444 177
266 337 195
540 172 -359
140 603 228
478 231 781
69 428 996
769 472 931
570 697 -255
306 605 -538
839 346 657
427 552 894
317 364 71
321 744 -869
9 815 776
583 872 50
607 707 328
632 630 350
255 581 86
341 816 849
384 561 326
220 351 -194
843 791 -173
803 562 281
723 326 -130
85 191 211
42 317 376
160 469 -912
457 240 -668
18 814 978
310 866 275
140 10 222
181 76 648
633 389 572
645 217 115
149 431 946
753 321 -157
811 706 -917
555 205 -421
357 499 -580
728 842 889
214 899 714
847 773 575
828 570 9
524 70 -982
397 156 776
767 430 -811
552 448 319
645 437 -331
390 340 -224
810 654 -107
815 75 -44
43 664 -176
907 336 -234
663 598 527
594 654 780
525 787 -495
74 755 -582
143 899 -787
275 121 -52
829 805 -737
903 628 389
375 299 -41
86 482 -440
816 669 650
434 284 925
79 129 -848
162 353 847
212 590 166
339 6 50
401 323 -708
739 488 -870
548 890 -54
484 615 94
595 390 156
13 647 166
277 174 -361
82 599 -545
5 215 -559
23 453 -638
607 122 -600
48 47 806
592 661 120
666 716 395
668 514 19
254 68 -719
509 173 770
759 533 742
745 42 207
557 315 -822
741 22 352
713 603 -920
191 470 607
404 239 690
844 774 135
505 68 -845
742 388 -175
725 771 85
13 335 898
83 876 -248
838 846 -952
583 801 -214
259 871 885
612 352 850
29 494 -163
608 129 860
287 490 307
200 445 -56
831 706 876
875 199 195
546 3 -813
279 694 282
902 61 -729
809 238 453
150 506 -659
573 612 -70
372 661 247
380 29 -731
126 406 -334
592 681 -40
608 230 882
614 834 339
655 521 -944
817 200 -485
322 119 792
851 31 546
199 263 380
364 851 626
149 139 -563
40 770 -564
779 356 -841
242 580 443
378 24 132
429 731 548
890 289 -141
28 116 187
59 729 391
676 176 794
649 395 890
784 299 150
375 515 118
672 248 -90
321 892 -255
217 802 -114
282 617 162
391 398 -229
853 668 -261
259 835 -759
100 139 702
364 743 888
593 575 -710
427 108 -109
382 435 478
509 541 132
826 719 710
852 264 84
288 535 -855
313 436 211
683 189 -193
857 739 -784
653 648 -336
295 489 -972
448 503 -691
545 888 -806
245 92 44
291 200 99
50 201 886
150 86 620
839 508 252
371 692 -537
817 22 -492
470 145 -530
701 195 -119
233 92 695
219 28 548
207 285 -112
860 146 177
539 451 632
483 463 653
802 881 72
577 605 -136
387 616 892
700 765 -21
860 840 714
522 207 -337
348 562 216
898 744 -593
497 494 565
891 602 -150
286 426 337
109 509 -378
614 269 195
882 710 -396
291 807 -899
413 348 -211
223 855 -280
868 28 212
716 906 -326
293 541 -80
227 835 -433
517 86 -6
317 496 -784
642 848 -647
893 46 288
843 7 695
349 4 43
85 243 43
274 370 -435
446 555 151
676 359 405
452 798 557
431 579 -956
844 661 -782
779 95 724
181 865 -216
40 693 843
481 131 937
744 769 652
694 164 990
9 441 483
834 821 -491
843 514 -806
222 738 475
641 864 168
629 528 -474
765 795 973
658 22 810
804 427 154
884 800 838
900 857 898
374 81 223
221 590 -580
98 119 811
644 690 -988
161 251 -224
335 476 -802
62 705 -182
465 680 930
896 906 -929
78 709 -406
391 252 259
647 182 571
372 280 -909
152 546 -905
131 849 818
132 842 -505
639 645 -122
162 845 881
339 142 164
204 117 -754
464 816 211
294 529 983
543 684 -710
105 76 117
572 103 766
831 678 670
633 341 -913
208 502 -29
208 800 383
587 369 -392
531 877 -740
460 869 113
570 737 -573
700 846 -872
251 64 85
853 695 440
796 312 444
600 900 676
500 660 934
491 465 777
510 676 -624
471 336 900
505 401 -905
85 8 -212
437 120 -487
611 284 -199
627 869 -653
883 72 453
835 157 -294
341 431 -79
152 497 -963
57 555 -548
121 303 613
159 192 872
702 576 59
833 229 -660
46 218 655
357 633 363
759 286 -145
135 452 191
776 547 295
86 520 -339
42 106 -635
120 427 -601
817 613 409
784 405 -167
516 171 748
38 676 -913
735 251 314
897 40 775
732 501 377
65 493 920
390 880 715
733 642 374
38 697 -651
401 396 456
887 283 672
501 512 567
569 508 979
472 805 928
571 71 36
163 28 51
210 91 -438
87 153 -753
732 557 -173
455 590 -182
328 416 96
712 844 752
356 335 -349
894 25 841
48 513 -377
766 791 -638
634 23 532
56 817 400
465 184 -299
219 338 -805
758 621 -55
538 417 576
209 101 -256
15 558 744
820 16 -876
876 363 360
82 213 137
703 887 784
308 746 -558
575 727 780
340 98 -672
604 266 -985
383 431 325
6 346 -346
847 451 -956
657 746 552
691 576 371
199 480 -710
637 631 842
869 9 -73
113 523 -646
725 830 820
433 686 -203
547 520 839
795 449 714
632 583 559
688 380 -179
888 480 531
8 338 925
827 651 -302
60 202 -643
832 887 401
790 906 473
846 26 656
576 308 837
820 255 910
643 103 -796
880 457 705
816 563 162
614 850 -788
119 134 -932
632 838 72
113 38 -808
886 148 582
108 514 -287
52 465 -537
791 369 593
569 410 -359
692 173 -235
273 680 89
271 402 785
34 69 724
679 569 -433
789 734 -549
684 89 -79
777 239 41
787 535 -235
26 646 304
37 305 185
808 128 -836
827 820 -746
457 525 50
38 66 -335
3 433 939
483 318 -756
586 688 597
317 503 745
874 734 -78
826 446 635
882 452 346
40 376 -970
212 151 -449
350 818 -5
19 125 -642
681 105 334
216 226 847
566 187 373
657 876 -822
491 891 -964
173 294 616
743 10 899
484 188 -771
229 467 665
653 842 682
168 757 -448
549 242 607
197 429 779
523 729 -504
522 830 -887
173 44 820
402 509 -316
445 446 845
434 634 801
639 287 696
124 338 39
521 179 -457
494 215 -675
225 274 -281
587 731 -149
148 793 349
870 261 237
782 107 963
828 816 994
266 323 -988
229 781 -409
904 598 863
83 251 340
258 83 434
556 355 418
305 57 -818
812 405 -829
83 157 -754
145 869 336
91 308 -783
459 117 -786
7 879 -556
93 446 323
657 638 -405
515 328 933
729 524 293
251 491 -802
826 56 904
627 330 -986
556 151 -727
800 39 262
799 388 459
324 238 815
239 265 -743
658 706 507
450 302 -917
695 870 -536
473 618 -168
71 137 980
617 814 866
848 242 -566
120 789 -422
663 893 -704
64 303 -881
704 402 508
790 116 -575
404 254 -360
44 626 -226
844 208 -449
196 477 -763
391 801 203
561 281 511
618 110 -478
568 304 -189
375 316 113
438 903 -170
792 642 944
716 405 -994
7 889 -453
255 546 356
392 362 -199
406 289 -732
465 481 586
881 875 384
606 543 -303
247 217 302
522 136 -668
806 559 -525
759 698 -94
509 360 5
744 10 -637
597 9 -494
719 766 894
604 772 -868
469 139 -661
549 211 796
701 542 -385
824 201 -363
782 5 -596
53 744 400
575 697 798
481 529 693
785 259 -282
261 882 -788
899 308 722
386 675 -933
193 241 -496
568 169 -346
370 193 -659
618 484 347
98 191 -664
389 502 -689
834 805 446
380 317 874
502 734 -509
427 619 -711
135 847 807
472 81 605
487 133 357
557 832 848
790 228 -780
437 16 183
263 424 370
699 4 -242
611 874 -796
756 44 727
101 811 389
518 576 268
39 133 -819
890 474 319
805 851 -815
275 185 665
39 206 727
447 737 751
9 64 906
807 3 -822
684 712 173
266 799 448
31 472 968
81 268 -979
371 169 999
517 41 -414
163 454 -13
37 652 -122
626 439 -325
821 108 -640
248 250 310
280 136 403
405 376 -396
377 55 483
113 541 834
736 713 -840
220 297 -79
609 423 185
185 806 4
318 59 767
422 659 692
353 798 -481
296 570 -848
715 427 150
703 330 74
619 517 -73
671 844 -94
89 680 520
387 305 -79
839 736 506
438 613 531
77 276 -994
629 800 -714
602 634 915
156 528 32
145 701 -706
809 265 697
55 807 102
569 905 -25
63 540 -524
312 497 209
555 449 -369
420 708 -311
862 362 497
293 240 -165
526 359 -263
229 765 848
193 569 708
132 378 -457
141 486 745
33 373 533
504 772 469
153 467 -665
843 618 -855
819 568 842
150 96 359
709 861 21
741 338 407
442 869 -179
211 232 316
302 194 -483
878 343 740
448 62 18
647 708 -403
573 277 -587
278 59 371
198 887 51
570 68 830
764 479 169
